symbol,name,category,status,sap_score,grade,piotroski_score,piotroski_available,piotroski_total,valuation_available,growth_available,fair_price,first_target_price,missing_count,missing_fields,data_quality_score,diagnostics_count,diagnostics,elapsed_seconds,error
2330.TW,台積電,半導體,success,90,S級,9,9,9,2,3,964.38,1109.04,0,,100,0,,1.16,
2313.TW,華通,PCB,success,76,B級,8,9,9,2,3,115.34,132.64,0,,100,0,,0.77,
8046.TW,南電,PCB,success,69,C級,8,8,9,2,3,137.2,157.78,2,current.long_term_debt | previous.long_term_debt,90,1,"缺少欄位：current.long_term_debt, previous.long_term_debt",0.94,
2368.TW,金像電,PCB,success,67,C級,5,9,9,2,3,292.59,336.48,0,,100,0,,0.96,
2454.TW,聯發科,半導體,success,66,C級,4,9,9,2,3,1036.32,1191.77,0,,100,0,,0.82,
3034.TW,聯詠,半導體,success,65,C級,5,9,9,2,3,435.63,500.97,0,,100,0,,0.78,
2603.TW,長榮,傳產,success,65,C級,4,9,9,2,3,707.39,813.5,0,,100,0,,0.78,
2303.TW,聯電,半導體,success,62,C級,5,9,9,2,3,75.65,87.0,0,,100,0,,0.85,
2891.TW,中信金,金融,success,60,C級,4,7,9,2,3,80.48,92.55,6,current.current_assets | current.current_liabilities | current.gross_profit | previous.current_assets | previous.current_liabilities | previous.gross_profit,70,1,"缺少欄位：current.current_assets, current.current_liabilities, current.gross_profit, previous.current_assets, previous.current_liabilities, previous.gross_profit",0.76,
3189.TW,景碩,PCB,success,59,D級,6,9,9,2,3,137.69,158.34,0,,100,0,,1.08,
2884.TW,玉山金,金融,success,59,D級,6,7,9,2,3,46.53,53.51,6,current.current_assets | current.current_liabilities | current.gross_profit | previous.current_assets | previous.current_liabilities | previous.gross_profit,70,1,"缺少欄位：current.current_assets, current.current_liabilities, current.gross_profit, previous.current_assets, previous.current_liabilities, previous.gross_profit",0.76,
3037.TW,欣興,PCB,success,58,D級,7,9,9,2,3,142.34,163.69,0,,100,0,,0.83,
2379.TW,瑞昱,半導體,success,58,D級,3,8,9,2,3,438.08,503.79,1,current.long_term_debt,95,1,缺少欄位：current.long_term_debt,0.96,
2207.TW,和泰車,傳產,success,56,D級,5,9,9,2,3,571.25,656.94,0,,100,0,,0.78,
3711.TW,日月光投控,半導體,success,54,D級,6,9,9,2,3,208.83,240.15,0,,100,0,,0.85,
2882.TW,國泰金,金融,success,54,D級,5,7,9,2,3,167.96,193.15,6,current.current_assets | current.current_liabilities | current.gross_profit | previous.current_assets | previous.current_liabilities | previous.gross_profit,70,1,"缺少欄位：current.current_assets, current.current_liabilities, current.gross_profit, previous.current_assets, previous.current_liabilities, previous.gross_profit",0.79,
2881.TW,富邦金,金融,success,51,D級,4,7,9,2,3,196.35,225.8,6,current.current_assets | current.current_liabilities | current.gross_profit | previous.current_assets | previous.current_liabilities | previous.gross_profit,70,1,"缺少欄位：current.current_assets, current.current_liabilities, current.gross_profit, previous.current_assets, previous.current_liabilities, previous.gross_profit",0.76,
2892.TW,第一金,金融,success,51,D級,4,7,9,2,3,49.23,56.61,6,current.current_assets | current.current_liabilities | current.gross_profit | previous.current_assets | previous.current_liabilities | previous.gross_profit,70,1,"缺少欄位：current.current_assets, current.current_liabilities, current.gross_profit, previous.current_assets, previous.current_liabilities, previous.gross_profit",0.81,
1303.TW,南亞,傳產,success,48,D級,8,9,9,2,3,72.97,83.92,0,,100,0,,0.82,
2912.TW,統一超,傳產,success,48,D級,6,9,9,2,3,169.24,194.63,0,,100,0,,0.83,
1216.TW,統一,傳產,success,44,D級,6,9,9,2,3,70.39,80.95,0,,100,0,,0.8,
2002.TW,中鋼,傳產,success,42,D級,4,9,9,1,3,,,0,,100,2,估值 current.eps 非正值，暫不計算 PE 合理價 | 估值缺少 PE 合理價或 PB 合理價，無法計算綜合合理價,0.79,
1301.TW,台塑,傳產,success,39,D級,4,9,9,1,2,,,0,,100,3,估值 current.eps 非正值，暫不計算 PE 合理價 | 估值缺少 PE 合理價或 PB 合理價，無法計算綜合合理價 | 成長性缺少 current.eps 或 previous.eps，EPS 成長不加分,0.91,
2885.TW,元大金,金融,success,28,D級,3,9,9,2,3,67.83,78.0,0,,100,0,,0.82,
0050.TW,元大台灣50,ETF,success,0,D級,0,0,9,0,0,,,0,,100,8,缺少最新年度財報資料 | 缺少前一年度財報資料，暫時無法做年度比較 | 估值缺少 current.eps | 估值缺少 current.book_value_per_share | 估值缺少 PE 合理價或 PB 合理價，無法計算綜合合理價 | 成長性缺少 current.revenue 或 previous.revenue，營收成長不加分 | 成長性缺少 current.eps 或 previous.eps，EPS 成長不加分 | 成長性缺少 current.free_cashflow 或 previous.free_cashflow，FCF 成長不加分,0.65,
0056.TW,元大高股息,ETF,success,0,D級,0,0,9,0,0,,,0,,100,8,缺少最新年度財報資料 | 缺少前一年度財報資料，暫時無法做年度比較 | 估值缺少 current.eps | 估值缺少 current.book_value_per_share | 估值缺少 PE 合理價或 PB 合理價，無法計算綜合合理價 | 成長性缺少 current.revenue 或 previous.revenue，營收成長不加分 | 成長性缺少 current.eps 或 previous.eps，EPS 成長不加分 | 成長性缺少 current.free_cashflow 或 previous.free_cashflow，FCF 成長不加分,0.62,
00878.TW,國泰永續高股息,ETF,success,0,D級,0,0,9,0,0,,,0,,100,8,缺少最新年度財報資料 | 缺少前一年度財報資料，暫時無法做年度比較 | 估值缺少 current.eps | 估值缺少 current.book_value_per_share | 估值缺少 PE 合理價或 PB 合理價，無法計算綜合合理價 | 成長性缺少 current.revenue 或 previous.revenue，營收成長不加分 | 成長性缺少 current.eps 或 previous.eps，EPS 成長不加分 | 成長性缺少 current.free_cashflow 或 previous.free_cashflow，FCF 成長不加分,0.56,
006208.TW,富邦台50,ETF,success,0,D級,0,0,9,0,0,,,0,,100,8,缺少最新年度財報資料 | 缺少前一年度財報資料，暫時無法做年度比較 | 估值缺少 current.eps | 估值缺少 current.book_value_per_share | 估值缺少 PE 合理價或 PB 合理價，無法計算綜合合理價 | 成長性缺少 current.revenue 或 previous.revenue，營收成長不加分 | 成長性缺少 current.eps 或 previous.eps，EPS 成長不加分 | 成長性缺少 current.free_cashflow 或 previous.free_cashflow，FCF 成長不加分,0.56,
00713.TW,元大台灣高息低波,ETF,success,0,D級,0,0,9,0,0,,,0,,100,8,缺少最新年度財報資料 | 缺少前一年度財報資料，暫時無法做年度比較 | 估值缺少 current.eps | 估值缺少 current.book_value_per_share | 估值缺少 PE 合理價或 PB 合理價，無法計算綜合合理價 | 成長性缺少 current.revenue 或 previous.revenue，營收成長不加分 | 成長性缺少 current.eps 或 previous.eps，EPS 成長不加分 | 成長性缺少 current.free_cashflow 或 previous.free_cashflow，FCF 成長不加分,0.58,
00919.TW,群益台灣精選高息,ETF,success,0,D級,0,0,9,0,0,,,0,,100,8,缺少最新年度財報資料 | 缺少前一年度財報資料，暫時無法做年度比較 | 估值缺少 current.eps | 估值缺少 current.book_value_per_share | 估值缺少 PE 合理價或 PB 合理價，無法計算綜合合理價 | 成長性缺少 current.revenue 或 previous.revenue，營收成長不加分 | 成長性缺少 current.eps 或 previous.eps，EPS 成長不加分 | 成長性缺少 current.free_cashflow 或 previous.free_cashflow，FCF 成長不加分,0.56,
